pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1	Группа дети играют во дворе, и старый человек стоит на заднем плане	Группа мальчиков во дворе играет и человек стоит на заднем плане	4.5	NEUTRAL
2	Группа детей играет в доме и нет никакого человека, стоящего на заднем плане	Группа дети играют во дворе, и старый человек стоит на заднем плане	3.2	NEUTRAL
3	Молодые мальчики играют на открытом воздухе и человек рядом улыбается	Дети играют на открытом воздухе рядом с человеком с улыбкой	4.7	ENTAILMENT
5	Дети играют на открытом воздухе рядом с человеком с улыбкой	Группа дети играют во дворе, и старый человек стоит на заднем плане	3.4	NEUTRAL
9	Молодые мальчики играют на открытом воздухе и человек рядом улыбается	Группа дети играют во дворе, и старый человек стоит на заднем плане	3.7	NEUTRAL
12	Две собаки дерутся	Две собаки боролись и обниматься	4.0	NEUTRAL
14	Коричневая собака нападает на другое животное перед человеком в брюках	Две собаки дерутся	3.5	NEUTRAL
18	Коричневая собака нападает на другое животное перед человеком в брюках	Две собаки боролись и обниматься	3.2	NEUTRAL
25	Никто не едет на велосипеде на одном колесе	Человек в черной куртке делает трюки на мотоцикле	2.8	NEUTRAL
26	Человек едет на велосипеде на одном колесе	Человек в черной куртке делает трюки на мотоцикле	3.7	NEUTRAL
28	Человек на черном мотоцикле делает трюки с жакетом	Человек едет на велосипеде на одном колесе	3.4	NEUTRAL
30	Люди с Джерси макая мяч в баскетбольной игре	Бал окунул человеком с джерси на баскетбольном матче	4.9	ENTAILMENT
35	Люди с Джерси макая мяч в баскетбольной игре	Человек, который играет макает баскетбол в сеть и толпа в фоновом режиме	3.6	NEUTRAL
40	Игрок макая баскетбол в сеть и толпа в фоновом режиме	Люди с Джерси макая мяч в баскетбольной игре	3.8	NEUTRAL
42	Два человека кикбоксингу и зрители не смотрят	Два человека кикбоксингу и зрители смотрят	3.4	CONTRADICTION
44	Две молодые женщины спарринг в кикбоксингу бой	Две женщины спарринг в матче по кикбоксингу	4.9	ENTAILMENT
45	Две молодые женщины не спарринг в кикбоксингу бой	Две женщины спарринг в матче по кикбоксингу	3.9	NEUTRAL
47	Два человека кикбоксингу и зрители смотрят	Две молодые женщины не спарринг в кикбоксингу бой	3.415	NEUTRAL
49	Две женщины спарринг в матче по кикбоксингу	Два человека кикбоксингу и зрители не смотрят	3.7	NEUTRAL
55	Три мальчика прыгает в листах	Три дети прыгают в листьях	4.4	ENTAILMENT
56	Трое детей сидят в листьях	Три дети прыгают в листьях	3.8	NEUTRAL
58	Дети в красных рубашках играют в листьях	Трое детей сидят в листьях	3.5	NEUTRAL
62	Дети в красных рубашках играют в листьях	Три дети прыгают в листьях	4.0	NEUTRAL
65	Два ангела делает снег на лежащие детях	Двое детей, лежащих в снегу и делают снежных ангелов	2.9	NEUTRAL
70	Двое детей, лежащие в снеге и рисование ангелов	Два человека, в комбинезоны валяются в снегу и делать снежных ангелов	4.1	NEUTRAL
72	Два человека, в комбинезоны валяются в снегу и делать снежных ангелов	Два ангела делает снег на лежащие детях	2.5	NEUTRAL
73	Двое детей, лежащих в снегу и делают снежных ангелов	Два человека, в комбинезоны валяются в снегу и делать снежных ангелов	4.2	NEUTRAL
77	Люди в костюмах собираются в лесу и смотрят в одном направлении	Замаскированные люди смотрят в одном направлении в лесу	4.4	ENTAILMENT
78	Люди в костюмах собираются в лесу и смотрят в одном направлении	Люди в костюмах произрастающего в лесу и смотрят в разные стороны	3.2	NEUTRAL
79	Люди смотрят на некоторых костюмах собрались в непосредственной близости от леса	Люди в костюмах собираются в лесу и смотрят в одном направлении	3.635	NEUTRAL
81	Маленькая девочка смотрит на женщину в костюме	Люди в костюмах произрастающего в лесу и смотрят в разные стороны	2.4	NEUTRAL
82	Маленькая девочка смотрит на женщину в костюме	Люди смотрят на некоторых костюмах собрались в непосредственной близости от леса	2.6	NEUTRAL
