pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
6	Там нет мальчик, играя на открытом воздухе и не будет никакой человек улыбается	Группа дети играют во дворе, и старый человек стоит на заднем плане	3.3	NEUTRAL
7	Группа мальчиков во дворе играет и человек стоит на заднем плане	Молодые мальчики играют на открытом воздухе и человек рядом улыбается	3.7	NEUTRAL
8	Группа детей играет в доме и нет никакого человека, стоящего на заднем плане	Молодые мальчики играют на открытом воздухе и человек рядом улыбается	3.0	NEUTRAL
10	Коричневая собака нападает на другое животное перед высоким человеком в брюках	Коричневая собака нападает на другое животное перед человеком в брюках	4.9	ENTAILMENT
11	Коричневая собака нападает на другое животное перед человеком в брюках	Коричневая собака помогает другому животному перед человеком в брюках	3.665	NEUTRAL
13	Две собаки боролись и обниматься	Там нет собаки борьбы и обниматься	3.3	CONTRADICTION
15	Коричневая собака нападает на другое животное перед человеком в брюках	Там нет собаки борьбы и обниматься	2.7	NEUTRAL
16	Две собаки боролись и обниматься	Коричневая собака нападает на другое животное перед высоким человеком в брюках	2.9	NEUTRAL
17	Две собаки боролись и обниматься	Коричневая собака помогает другому животному перед человеком в брюках	2.3	NEUTRAL
19	Человек в черной куртке делает трюки на мотоцикле	Человек в черной куртке делает трюки на мотоцикле	4.9	ENTAILMENT
20	Там нет ни одного человека в черной куртке делать трюки на мотоцикле	Человек в черной куртке делает трюки на мотоцикле	3.6	CONTRADICTION
21	Человек в черной куртке делает трюки на мотоцикле	Человек на черном мотоцикле делает трюки с жакетом	3.0	NEUTRAL
22	Опытный человек едет на велосипеде на одном колесе	Человек едет на велосипеде на одном колесе	4.3	ENTAILMENT
23	Никто не едет на велосипеде на одном колесе	Человек едет на велосипеде на одном колесе	4.1	CONTRADICTION
27	Человек едет на велосипеде на одном колесе	Там нет ни одного человека в черной куртке делать трюки на мотоцикле	3.2	NEUTRAL
29	Человек едет на велосипеде на одном колесе	Человек в черной куртке делает трюки на мотоцикле	3.3	NEUTRAL
31	Люди с Джерси макая мяч в баскетбольной игре	Там нет ни одного человека, макая мяч в баскетбольную игру	4.0	CONTRADICTION
32	Игра в баскетбол состоит из шара, окунул человеком с джерси	Люди с Джерси макая мяч в баскетбольной игре	4.2	ENTAILMENT
33	Человек, который играет макает баскетбол в сеть и толпа в фоновом режиме	Игрок макая баскетбол в сеть и толпа в фоновом режиме	4.7	ENTAILMENT
34	Игрок не хватает корзинку и толпа в фоновом режиме	Игрок макая баскетбол в сеть и толпа в фоновом режиме	3.9	CONTRADICTION
36	Люди с Джерси макая мяч в баскетбольной игре	Игрок не хватает корзинку и толпа в фоновом режиме	3.5	NEUTRAL
37	Игрок макая баскетбол в сеть и толпа в фоновом режиме	Бал окунул человеком с джерси на баскетбольном матче	4.0	NEUTRAL
38	Там нет ни одного человека, макая мяч в баскетбольную игру	Игрок макая баскетбол в сеть и толпа в фоновом режиме	3.5	CONTRADICTION
39	Игра в баскетбол состоит из шара, окунул человеком с джерси	Игрок макая баскетбол в сеть и толпа в фоновом режиме	3.6	NEUTRAL
41	Два человека кикбоксингу и зрители смотрят	Два человека сражаются и зрители смотрят	4.4	ENTAILMENT
43	Два зрителей кикбоксингу и некоторые люди смотрят	Два человека кикбоксингу и зрители смотрят	4.0	NEUTRAL
46	Два человека кикбоксингу и зрители смотрят	Две молодые женщины спарринг в кикбоксингу бой	3.9	NEUTRAL
48	Две женщины спарринг в матче по кикбоксингу	Два человека сражаются и зрители смотрят	3.7	NEUTRAL
50	Два зрителей кикбоксингу и некоторые люди смотрят	Две женщины спарринг в матче по кикбоксингу	3.6	NEUTRAL
51	Два человека кикбоксингу и зрители смотрят	Две женщины спарринг в матче по кикбоксингу	3.9	NEUTRAL
52	Дети в красных рубашках играют в листьях	Дети в красных рубашках играют в листьях	4.9	ENTAILMENT
53	Дети в красных рубашках играют в листьях	Дети в красных рубашках спят в листьях	4.0	NEUTRAL
54	Дети в красных рубашках играют в листьях	Дети, покрытые листьями играют с красными рубашками	3.9	NEUTRAL
57	Три мальчика прыгает в листах	Дети в красных рубашках играют в листьях	4.1	NEUTRAL
59	Дети в красных рубашках играют в листьях	Три дети прыгают в листьях	3.9	NEUTRAL
60	Дети в красных рубашках спят в листьях	Три дети прыгают в листьях	3.1	NEUTRAL
61	Дети, покрытые листьями играют с красными рубашками	Три дети прыгают в листьях	3.9	NEUTRAL
63	Двое детей, лежащие в снеге и рисование ангелов	Двое детей, лежащих в снегу и делают снежных ангелов	4.4	ENTAILMENT
64	Двое детей, лежащих в снегу и делают снежных ангелов	Там нет ни одного ребенка, лежа в снегу и делать снежных ангелов	3.8	CONTRADICTION
66	Два человека, одетые в комбинезоны находятся на земле делать снежных ангелов	Два человека, в комбинезоны валяются в снегу и делать снежных ангелов	4.8	ENTAILMENT
67	Два человека, в комбинезоны валяются в снегу и делать снежных ангелов	Никто в комбинезоны не лежал в снегу и делать снежных ангелов	4.1	CONTRADICTION
68	Двое детей, лежащих в снегу и делают снежных ангелов	Два человека, одетые в комбинезоны находятся на земле делать снежных ангелов	4.6	NEUTRAL
69	Двое детей, лежащих в снегу и делают снежных ангелов	Никто в комбинезоны не лежал в снегу и делать снежных ангелов	3.6	CONTRADICTION
71	Там нет ни одного ребенка, лежа в снегу и делать снежных ангелов	Два человека, в комбинезоны валяются в снегу и делать снежных ангелов	3.3	NEUTRAL
74	Маленькая девочка смотрит на женщину в костюме	Молодая девушка смотрит на женщину в костюме	4.7	ENTAILMENT
75	Маленькая девочка смотрит на женщину в костюме	Маленькая девочка смотрит на мужчину в костюме	3.8	NEUTRAL
76	Маленькая девочка смотрит на женщину в костюме	Маленькая девочка в костюме выглядит как женщина	2.9	NEUTRAL
80	Замаскированные люди смотрят в одном направлении в лесу	Маленькая девочка смотрит на женщину в костюме	1.3	NEUTRAL
86	Маленькая девочка смотрит на женщину в костюме	Люди в костюмах собираются в лесу и смотрят в одном направлении	2.6	NEUTRAL
89	Человек прыгает в пустой бассейн	Человек прыгает в пустой бассейн	4.8	ENTAILMENT
92	Одинокий велосипедист прыгает в воздухе	Человек прыгает в пустой бассейн	1.6	NEUTRAL
95	Человек прыгает в пустой бассейн	Байкер прыгает в воздухе, в одиночку	1.6	NEUTRAL
96	Человек прыгает в пустой бассейн	Там нет байкера прыжков в воздухе	1.2	NEUTRAL
101	Четыре девочки делают прогибы и играть на открытом воздухе	Четыре девочки делают прогибы и игры в помещении	4.0	NEUTRAL
102	Четыре девочки делают прогибы и играть в саду	Четверо детей делают прогибы в парке	3.7	NEUTRAL
103	Четыре девочки делают прогибы и игры в помещении	Четверо детей делают прогибы в парке	3.7	NEUTRAL
104	Четверо детей делают прогибы в парке	Четыре девочки делают прогибы и играть на открытом воздухе	4.3	ENTAILMENT
106	Четыре девочки делают прогибы и играть на открытом воздухе	Четверо детей делают прогибы в парке	4.1	NEUTRAL
108	Игрок бросает мяч	Игрок бежит с мячом	3.5	NEUTRAL
109	Две группы людей играют в футбол	Две команды соревнуются в футбольном матче	4.7	ENTAILMENT
110	Две команды соревнуются в футбольном матче	Две команды соревнуются в бейсбол	3.9	NEUTRAL
111	Две команды соревнуются в футбольном матче	Футбол играется двумя конкурирующими командами	4.8	ENTAILMENT
114	Игрок бежит с мячом	Футбол играется двумя конкурирующими командами	3.0	NEUTRAL
115	Две команды соревнуются в футбольном матче	Человек, который играет бежит с мячом в руках	2.7	NEUTRAL
118	Пятеро детей, стоя перед деревянной избой	Пяти детей стоят перед хижиной из дерева	4.8	ENTAILMENT
121	Пять детей стоят близко друг к другу и один ребенок имеет оружие	Пять детей стоят близко друг к другу и один ребенок имеет оружие	4.8	ENTAILMENT
